@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumRules numeric

@data

german_credit,1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,76,24,0,76,24,0,0.405941,0.311251,0.407102,74.075983,88.836973,88.129157,2213.75211,-2125.622952,0.881292,22.137521,-21.25623,23.778316,0.237783,2696.466839,0.857143,60,0.466667,14,0.533333,16,0.142857,10,0.810811,0.857143,0.833333,0.407945,0.773333,0.861596,0.76,0.369524,0.630476,0.24,0.752183,0.76,0.754762,0.407945,0.773333,0.777776,0.702381,0.76,0.016,0,0.02,0,20,0,14626,181623,24023,98,97.5,?,71,?
segment,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,220,11,0,95.238095,4.761905,0,0.944444,0.016938,0.110406,6.916338,31.551264,648.498987,2196.191243,-1547.692256,2.807355,9.507321,-6.699966,611.673935,2.647939,21788.265167,0.939394,31,0.005051,1,0.994949,197,0.060606,2,0.96875,0.939394,0.953846,0.946443,0.993266,0.942455,0.952381,0.007937,0.992063,0.047619,0.953311,0.952381,0.952251,0.944725,0.990282,0.953105,0.952251,0.952381,0.048,0.001,0.04,0,40,0,18387,395160,45888,97.402597,15.337044,?,61,?
segment,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,218,13,0,94.372294,5.627706,0,0.934343,0.019312,0.11504,7.885541,32.875294,648.498987,3264.253698,-2615.754711,2.807355,14.130968,-11.323613,606.846335,2.62704,21616.302588,1,33,0,0,1,198,0,0,1,1,1,1,1,1,0.943723,0.00938,0.99062,0.056277,0.945858,0.943723,0.944279,0.935232,0.988194,0.947423,0.944279,0.943723,0.047,0.002,0.04,0,40,0,17375,395160,45888,97.835498,16.883117,?,57,?
segment,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,216,15,0,93.506494,6.493506,0,0.924242,0.023319,0.122824,9.521746,35.099942,648.498987,6482.066745,-5833.567758,2.807355,28.060895,-25.25354,597.871727,2.588189,21296.62061,1,33,0,0,1,198,0,0,1,1,1,1,1,1,0.935065,0.010823,0.989177,0.064935,0.945238,0.935065,0.936431,0.928203,0.980968,0.942173,0.936431,0.935065,0.046,0.001,0.05,0,50,0,14970,395160,45888,96.969697,17.501546,?,47,?
segment,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,219,12,0,94.805195,5.194805,0,0.939394,0.019227,0.112121,7.851047,32.041303,648.498987,2194.937288,-1546.438301,2.807355,9.501893,-6.694538,609.140087,2.63697,21698.007683,1,33,0.005051,1,0.994949,197,0,0,0.970588,1,0.985075,0.982693,0.997245,0.968001,0.948052,0.008658,0.991342,0.051948,0.948385,0.948052,0.948034,0.939502,0.98886,0.953342,0.948034,0.948052,0.044,0.006,0.04,0,40,0,16413,395160,45888,98.268398,17.254174,?,53,?
segment,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,217,14,0,93.939394,6.060606,0,0.929293,0.021162,0.121344,8.641204,34.67683,648.498987,5405.451318,-4756.952331,2.807355,23.400222,-20.592867,603.10554,2.610846,21483.05278,0.939394,31,0.005051,1,0.994949,197,0.060606,2,0.96875,0.939394,0.953846,0.946443,0.999082,0.992026,0.939394,0.010101,0.989899,0.060606,0.940895,0.939394,0.939738,0.929907,0.98334,0.952755,0.939738,0.939394,0.056,0.001,0.05,0,50,0,16463,395160,45888,96.969697,17.316017,?,53,?
segment,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,218,13,0,94.372294,5.627706,0,0.934343,0.019929,0.118597,8.137471,33.892019,648.498987,3275.446858,-2626.947871,2.807355,14.179424,-11.372069,605.752586,2.622306,21577.34246,0.939394,31,0.015152,3,0.984848,195,0.060606,2,0.911765,0.939394,0.925373,0.912857,0.974594,0.882157,0.943723,0.00938,0.99062,0.056277,0.948874,0.943723,0.944691,0.936396,0.985909,0.949441,0.944691,0.943723,0.041,0.001,0.04,0,40,0,17450,395160,45888,96.969697,17.006803,?,57,?
segment,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,220,11,0,95.238095,4.761905,0,0.944444,0.01783,0.11279,7.280484,32.232489,648.498987,3271.194301,-2622.695314,2.807355,14.161014,-11.353659,610.455687,2.642665,21744.8703,0.969697,32,0,0,1,198,0.030303,1,1,0.969697,0.984615,0.982255,0.997245,0.985082,0.952381,0.007937,0.992063,0.047619,0.952508,0.952381,0.95238,0.944488,0.98592,0.937378,0.95238,0.952381,0.041,0.001,0.04,0,40,0,15907,395160,45888,96.969697,16.388374,?,51,?
segment,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,225,6,0,97.402597,2.597403,0,0.969697,0.01647,0.088106,6.725219,25.178488,648.498987,2179.457896,-1530.958909,2.807355,9.434883,-6.627528,618.807352,2.67882,22042.36261,0.939394,31,0.005051,1,0.994949,197,0.060606,2,0.96875,0.939394,0.953846,0.946443,0.993955,0.947774,0.974026,0.004329,0.995671,0.025974,0.975468,0.974026,0.974065,0.970202,0.992173,0.963947,0.974065,0.974026,0.04,0.001,0.04,0,40,0,12871,395160,45888,97.835498,17.934447,?,39,?
segment,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,2079,231,220,11,0,95.238095,4.761905,0,0.944444,0.018196,0.110344,7.429932,31.533441,648.498987,2191.906024,-1543.407037,2.807355,9.488771,-6.681416,610.533153,2.643001,21747.62969,1,33,0.015152,3,0.984848,195,0,0,0.916667,1,0.956522,0.950146,0.996939,0.96458,0.952381,0.007937,0.992063,0.047619,0.95356,0.952381,0.951675,0.944634,0.990161,0.96552,0.951675,0.952381,0.042,0.001,0.05,0,50,0,19930,395160,45888,97.402597,16.388374,?,67,?
